BDN19,BDNYO,CHI18,WAK18,NCH18,SCH18,SGB18,SGB19,GRH18,GRH19,MIC18,MIC19,LBD19,LBDYO,MAN18,CHE18,CHX19,MICYO,MEN19,MIL19,STJ18,LUD18,SOH18,SUT18,NPT18,NUB18,
0,,,,,,,,,,,,,,,,,,,,,,,,,,BDN19
0.00031732,0,,,,,,,,,,,,,,,,,,,,,,,,,BDNYO
0.079277336,0.080284563,0,,,,,,,,,,,,,,,,,,,,,,,,CHI18
0.085708064,0.086456508,0.00530019,0,,,,,,,,,,,,,,,,,,,,,,,WAK18
0.075180739,0.076552858,0.003508275,0.000914106,0,,,,,,,,,,,,,,,,,,,,,,NCH18
0.0827346,0.08458547,0.004640739,0.000117925,0.000616267,0,,,,,,,,,,,,,,,,,,,,,SCH18
0.012564086,0.014045471,0.100122597,0.107944457,0.094655822,0.10596416,0,,,,,,,,,,,,,,,,,,,,SGB18
0.014722065,0.014685179,0.10513443,0.112421563,0.100215712,0.111255339,0.005951669,0,,,,,,,,,,,,,,,,,,,SGB19
0.092720053,0.093156681,0.005058814,0.000571351,0.001406705,0.000844166,0.112866612,0.120884797,0,,,,,,,,,,,,,,,,,,GRH18
0.087307139,0.088406234,0.012743474,0.006445743,0.007834117,0.007164947,0.108136892,0.114587815,0.003394196,0,,,,,,,,,,,,,,,,,GRH19
0.090068915,0.091079967,0.006191249,0.001450241,0.001460745,0.001164607,0.109813709,0.118439299,0.00016596,0.003856145,0,,,,,,,,,,,,,,,,MIC18
0.090475314,0.091458116,0.005603298,0.000556959,0.000875581,0.000401942,0.11121971,0.118780075,-6.71E-05,0.003371488,0.000274242,0,,,,,,,,,,,,,,,MIC19
0.021938924,0.022010077,0.114713966,0.122521761,0.112137569,0.118501242,0.037422565,0.017288378,0.135800337,0.127633744,0.133723633,0.132615412,0,,,,,,,,,,,,,,LBD19
0.03326925,0.030501327,0.125392915,0.133404217,0.123297677,0.129611201,0.047619527,0.023371322,0.147321659,0.139215884,0.145353287,0.144994107,0.001698583,0,,,,,,,,,,,,,LBDYO
0.066088242,0.067025157,0.00839878,0.005631422,0.002091937,0.004894294,0.088075419,0.093484689,0.004752815,0.010194554,0.004940938,0.005294614,0.103105163,0.114918152,0,,,,,,,,,,,,MAN18
0.076649781,0.077345589,0.006636019,0.003008491,0.00140954,0.002559886,0.097722464,0.105127958,0.002315341,0.004872036,0.002721723,0.002699608,0.118803623,0.130614998,-0.000153248,0,,,,,,,,,,,CHE18
0.076024347,0.076982313,0.00890482,0.004124704,0.003488498,0.003330356,0.095922515,0.105243747,0.003549852,0.00537195,0.003621098,0.003441505,0.121253255,0.133874972,0.000624993,0.000874346,0,,,,,,,,,,CHX19
0.087458083,0.088883357,0.004856484,0.000978866,0.001841363,0.000649504,0.109582126,0.116100079,0.000233224,0.0048041,0.000631343,0.00105003,0.12786963,0.139117735,0.004498296,0.002409908,0.004241335,0,,,,,,,,,MICYO
0.011393476,0.011619214,0.099795761,0.10734042,0.095423058,0.104949784,0.005426674,0.002274904,0.116029431,0.110012256,0.113579354,0.113813937,0.020237086,0.027030299,0.088420807,0.100171876,0.100206994,0.111146424,0,,,,,,,,MEN19
0.085983901,0.086566059,0.005427636,0.000486038,0.001314353,0.000297121,0.107126895,0.11293266,0.000288454,0.004785928,0.000687223,0.000461997,0.125028292,0.136566076,0.004564847,0.002567761,0.003613727,0.000265313,0.108320252,0,,,,,,,MIL19
0.091355273,0.091977489,0.006355723,0.001775222,0.00175623,0.001395472,0.111320744,0.119404723,0.000377581,0.004253046,0.000619843,0.000625233,0.134804395,0.146844181,0.006258988,0.003168782,0.00362499,0.000785477,0.114260746,0.001080634,0,,,,,,STJ18
0.082433154,0.083659218,0.006864788,0.001324517,0.002322542,0.002356702,0.106537492,0.110904396,0.002402988,0.011267059,0.002560843,0.002710336,0.114466425,0.125416268,0.007605487,0.004088633,0.0058098,0.003094385,0.104236924,0.004087839,0.004649735,0,,,,,LUD18
0.085917814,0.087054808,0.006429984,-0.000134275,0.001650785,0.000627373,0.107653151,0.112993385,-0.000692593,0.005476572,3.60E-05,0.000312062,0.1224595,0.133673779,0.004956863,0.001468593,0.003784443,-0.000147613,0.107624629,-0.000214115,0.000796192,0.002659367,0,,,,SOH18
0.072997678,0.074460101,0.009303727,0.00530145,0.002625809,0.004727967,0.095171176,0.102530479,0.004279621,0.006721003,0.004078382,0.004435232,0.11523029,0.127408212,6.07E-05,0.000419893,-2.34E-05,0.004412614,0.09755151,0.003884568,0.005023406,0.006692378,0.00430336,0,,,SUT18
0.072527448,0.073226303,0.010962496,0.006340687,0.005765389,0.007108662,0.093788429,0.100691119,0.005213824,0.00707075,0.005391426,0.00554976,0.11441929,0.1261754,0.002167807,0.001689942,0.001559292,0.005588392,0.096361419,0.005872126,0.006153993,0.011510539,0.006935871,0.000817359,0,,NPT18
0.080860866,0.082312188,0.006891462,0.001824569,0.001312439,0.001432692,0.101634419,0.110692125,0.001204707,0.004164345,0.001453485,0.001340199,0.126022027,0.138508075,0.001137534,0.000378427,0.000699285,0.001656955,0.105700853,0.001388806,0.001650531,0.004342822,0.00095372,0.000776544,0.002209682,0,NUB18